Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10uF,C_0603_1608Metric,183.72,-118.4666,-90,bottom
C2,0.1uF,C_0402_1005Metric,196.10,-106.2,-90,bottom
C3,0.1uF,C_0402_1005Metric,193.20,-101.7,180,bottom
C4,1uF,C_0402_1005Metric,185.00,-117.5,90,bottom
C5,0.1uF,C_0402_1005Metric,186.00,-117.5,90,bottom
C6,0.1uF,C_0402_1005Metric,173.90,-123.2,0,bottom
C7,0.1uF,C_0402_1005Metric,173.40,-117.6,0,bottom
C10,0.1uF,C_0402_1005Metric,187.20,-120.9,0,bottom
C11,0.1uF,C_0402_1005Metric,185.50,-119.5,90,bottom
C16,1uF,C_0402_1005Metric,186.50,-119.5,90,bottom
C18,100pF,C_0402_1005Metric,182.50,-116.018867,-90,bottom
C19,1uF,C_0402_1005Metric,181.50,-116.02,-90,bottom
C20,1uF,C_0402_1005Metric,183.50,-116.01132,-90,bottom
C24,1uF,C_0402_1005Metric,194.20,-110.5,-90,bottom
L1,2nH,L_0402_1005Metric,181.99,-117.624897,180,bottom
R1,5.1k,R_0402_1005Metric,193.80,-120.8,-90,bottom
R2,5.1k,R_0402_1005Metric,193.20,-116,-90,bottom
R9,10k,R_0402_1005Metric,193.10,-110.5,90,bottom
U1,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,173.60,-120.5,-90,bottom
U2,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,194.30,-103.9,90,bottom
AE1,Antenna,C_1206_3216Metric,174.8,-114.125,90,top
BOOT1,SW_Push,SW_SPST_B3U-1000P,190.6,-110.4,90,top
C8,0.1uF,C_0402_1005Metric,186.1,-112.9,0,top
C9,0.1uF,C_0402_1005Metric,183.2,-123.3,-90,top
C12,4.7uF,C_0402_1005Metric,180.48,-102.23,0,top
C13,3.9pF,C_0402_1005Metric,176.4,-115.12,90,top
C14,12pF,C_0402_1005Metric,186.2,-109.28,90,top
C15,12pF,C_0402_1005Metric,181,-110.08,90,top
C17,1.8pF,C_0402_1005Metric,179.2,-115.12,90,top
C21,4.7uF,C_0402_1005Metric,180.54,-106.36,0,top
C22,1uF,C_0402_1005Metric,185.5,-101.8,90,top
C23,1uF,C_0402_1005Metric,187.7,-101.8,90,top
D1,LED,LED_0402_1005Metric,182.49,-101.2,0,top
D2,D_Schottky,D_SOD-323,182,-99.7,0,top
D3,D_Schottky,D_SOD-323,187,-99.7,0,top
D4,USR_LED,LED_0402_1005Metric,188.6,-116.7,90,top
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,195,-118.652503,90,top
J8,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,191,-105,90,top
J9,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,177,-119.5,-90,top
J10,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,177,-103,-90,top
L2,1.8nH,L_0402_1005Metric,177.815,-115.55,0,top
R3,0R,R_0402_1005Metric,182.4,-112.6,-90,top
R5,470R,R_0402_1005Metric,180.49,-101.2,180,top
R6,2k,R_0402_1005Metric,182.49,-102.2,0,top
R7,10k,R_0402_1005Metric,184.3,-123.3,-90,top
R10,1K,R_0402_1005Metric,188.6,-114.6,90,top
RST1,SW_Push,SW_SPST_B3U-1000P,194.6,-110.4,-90,top
U3,MCP73831-2ACI_MC,SON50P200X300X100-9N,181.5,-104.5,0,top
U4,ESP32-S2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,183.8,-117.8,0,top
U6,AP2112K-3.3,SOT-23-5,186.5,-104.5,0,top
Y1,12pF/40MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,183.6,-109.65,0,top
